Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,177.830002,182.880005,177.710007,182.009995,181.259918,104487900
2022-01-04,182.630005,182.940002,179.119995,179.699997,178.959442,99310400
2022-01-05,179.610001,180.169998,174.639999,174.919998,174.199158,94537600
2022-01-06,172.699997,175.300003,171.639999,172.000000,171.291183,96904000
2022-01-07,172.889999,174.139999,171.029999,172.169998,171.460495,86709100
2022-01-10,169.080002,172.500000,168.169998,172.190002,171.480408,106765600
2022-01-11,172.320007,175.179993,170.820007,175.080002,174.358490,76138300
2022-01-12,176.119995,177.179993,174.820007,175.529999,174.806641,74805200
2022-01-13,175.779999,176.619995,171.789993,172.190002,171.480408,84505800
2022-01-14,171.339996,173.779999,171.089996,173.070007,172.356796,80440800
2022-01-18,171.509995,172.539993,169.410004,169.800003,169.100266,90956700
2022-01-19,170.000000,171.080002,165.940002,166.229996,165.544968,94815000
2022-01-20,166.979996,169.679993,164.179993,164.509995,163.832062,91420500
2022-01-21,164.419998,166.330002,162.300003,162.410004,161.740723,122848900
2022-01-24,160.020004,162.300003,154.699997,161.619995,160.953949,162294600
2022-01-25,158.979996,162.759995,157.020004,159.779999,159.121536,115798400
2022-01-26,163.500000,164.389999,157.820007,159.690002,159.031906,108275300
2022-01-27,162.449997,163.839996,158.279999,159.220001,158.563843,121954600
2022-01-28,165.710007,170.350006,162.800003,170.330002,169.628082,179935700
2022-01-31,170.160004,175.000000,169.509995,174.779999,174.059738,115541600
2022-02-01,174.009995,174.839996,172.309998,174.610001,173.890442,86213900
2022-02-02,174.750000,175.880005,173.330002,175.839996,175.115341,84914300
2022-02-03,174.479996,176.240005,172.119995,172.899994,172.187469,89418100
2022-02-04,171.679993,174.100006,170.679993,172.389999,171.898315,82465400
2022-02-07,172.860001,173.949997,170.949997,171.660004,171.170395,77251200
2022-02-08,171.729996,175.350006,171.429993,174.830002,174.331345,74829200
2022-02-09,176.050003,176.649994,174.899994,176.279999,175.777222,71285000
2022-02-10,174.139999,175.479996,171.550003,172.119995,171.629074,90865900
2022-02-11,172.330002,173.080002,168.039993,168.639999,168.159012,98670700
2022-02-14,167.369995,169.580002,166.559998,168.880005,168.398315,86185500
2022-02-15,170.970001,172.949997,170.250000,172.789993,172.297165,62527400
2022-02-16,171.850006,173.339996,170.050003,172.550003,172.057861,61177400
2022-02-17,171.029999,171.910004,168.470001,168.880005,168.398315,69589300
2022-02-18,169.820007,170.539993,166.190002,167.300003,166.822830,82772700
2022-02-22,164.979996,166.690002,162.149994,164.320007,163.851334,91162800
